word,count
israel,325
allah,234
palestine,204
hamas,156
world,83
genocide,65
never,58
these,56
children,49
october,48
palestinians,47
because,47
israeli,45
should,44
after,44
ameen,41
please,41
peace,40
those,38
against,35
